County,District_ID,Population Density,Urban-Rural Classification,Diversity Index,Partisan Voting Index,PerCapitaIncome_2022,MedianListPrice_2024,HS_Grad_or_Higher_2023_5yr_Pct,Value (Percentage of People with a Bachelor's),HighPoint_Elevation_ft,WaterArea_sqmi,AgLand_Acres_2022,Air Pollution (Micrograms per cm^3),Unemployment Rate (%) ,Economic Diversity Index,Mean Travel Time,Mobility (%),Obesity %,log_population
Union,5,0.354,0.1,2.044,2.774,1.292,1.395,0.744,0.736,0.161,0.112,0.24,0.216,0.257,0.411,0.678,0.622,0.114,12.454696791578192
Vance,6,0.269,0.4,2.404,1.419,0.268,0.836,0.462,0.309,0.147,0.132,0.185,0.17,0.691,0.577,0.374,0.587,0.227,10.652566005416872
WakeN,0,0.462,0.0,2.476,1.161,1.898,1.462,0.937,0.947,0.145,0.14,0.201,0.25,0.217,0.0,0.454,0.949,0.023,13.38472764187182
WakeS,12,0.462,0.0,2.476,1.161,1.898,1.462,0.937,0.947,0.145,0.14,0.201,0.25,0.217,0.0,0.454,0.949,0.023,13.199324418540456
Warren,6,0.154,0.5,2.44,1.226,0.0,1.129,0.537,0.324,0.14,0.13,0.201,0.156,0.775,0.839,0.625,0.622,0.228,9.843525211363445
Washington,6,0.121,0.5,2.236,1.677,0.378,0.175,0.473,0.07,0.045,0.174,0.207,0.099,0.775,0.826,0.437,0.673,0.22,9.279213236262558
Watauga,8,0.276,0.4,1.204,1.742,0.508,1.784,0.852,0.852,0.245,0.051,0.177,0.121,0.257,0.556,0.152,0.996,0.086,10.910496117331157
Wayne,6,0.293,0.3,2.512,2.452,0.56,0.752,0.519,0.389,0.102,0.091,0.229,0.161,0.474,0.431,0.271,0.844,0.2,11.68423662924413
Wilkes,11,0.216,0.4,1.056,3.871,0.442,0.979,0.254,0.25,0.229,0.081,0.22,0.175,0.54,0.61,0.426,0.599,0.157,11.097606971309549
Wilson,10,0.293,0.4,2.528,1.871,0.57,0.763,0.403,0.362,0.123,0.102,0.223,0.161,0.904,0.537,0.219,0.752,0.204,11.276823312491628
Yadkin,11,0.237,0.2,1.276,4.0,0.438,0.811,0.525,0.218,0.194,0.082,0.215,0.209,0.217,0.747,0.529,0.575,0.17,10.539376314255792
Yancey,1,0.181,0.5,0.744,3.097,0.284,1.444,0.616,0.433,0.25,0.038,0.167,0.093,0.405,0.77,0.606,0.523,0.129,9.848925764543445
